Sample,StartDepth,End Depth,Depth midpoint,Particle Weight,C/N Weight,Event notes,Epoch,Grain size,,,,C/N ratio
,,,,,,,,Mean,Sorting,Skewness,Kurtosis,
W1M13/90,560,562,561,0.384,1.011, , ,15.7103317,2.63352979,-0.0644916,0.94458669, 
W1M13/91,563,565,564,0.393,1.078, , ,14.7381871,2.63351981,-0.0461893,0.95311949, 
W1M13/92,566,568,567,0.391,1.071, , ,17.9633856,2.55456655,-0.1023711,0.97537946, 
W1M13/93,570,573,571.5,0.363,1.028, , ,19.8374112,2.48663258,-0.1111269,0.99338917, 
W1M13/94,580,583,581.5,0.337,1.046, , ,16.6082772,2.65000408,-0.0704665,0.94322594, 
W1M13/95,585,590,587.5,0.31,1.093, , ,14.4821979,2.69826235,-0.0194435,0.94537066, 
W1M13/96,596,599,597.5,0.396,1.055, , ,14.850021,2.71527537,-0.0224332,0.94909331, 
W1M13/97,602,605,603.5,0.313,1.031, , ,15.5069701,2.66816948,-0.0544589,0.94072146, 
W1M13/98,610,613,611.5,0.347,1.026, , ,16.2965693,2.6255806,-0.0811731,0.94214357, 
W1M13/99,620,623,621.5,0.334,1.044, , ,17.9767753,2.60926232,-0.1051013,0.95828065, 
W1M13/100,630,633,631.5,0.32,1.033, , ,17.9273466,2.59489003,-0.1051568,0.95357566, 
W1M13/101,640,643,641.5,0.332,1.039, , ,19.6829344,2.63751182,-0.1167247,0.95947772, 
W1M13/102,650,653,651.5,0.305,1.036, , ,22.3440907,2.59819834,-0.1371641,0.97939851, 
W1M13/103,660,663,661.5,0.318,1.094, , ,37.6207405,2.52656107,-0.2404395,1.01581154, 
W1M13/104,672,675,673.5,0.354,1.021, , ,40.1667516,2.39044517,-0.243622,1.08077953, 
W1M13/105,680,683,681.5,0.382,1.036, , ,19.0824067,2.91664956,-0.0325907,0.88729836, 
W1M13/106,687,690,688.5,0.314,1.017, , ,22.2646222,2.91696864,-0.1241827,0.88321258, 
W1M13/107,695,698,696.5,0.314,1.002, , ,15.3843009,2.65062845,-0.0185339,0.97194517, 
W1M13/108,700,703,701.5,0.362,1.089, , ,50.0132525,2.15976886,-0.2594235,1.24664103, 
W1M13/109,710,713,711.5,0.305,1.075, , ,35.0285636,2.62064963,-0.3084714,1.03537533, 
W1M13/110,720,723,721.5,0.396,1.017, , ,50.9132234,2.13194485,-0.2353322,1.17501926, 
W1M13/111,730,733,731.5,0.376,1.07, , ,14.8796328,2.75379974,0.00673757,0.95254698, 
W1M13/112,740,743,741.5,0.306,1.042, , ,19.346826,2.75560811,-0.0866231,0.91921729, 
W1M13/113,750,753,751.5,0.335,1.07, , ,19.7910977,2.64179601,-0.0992438,0.93858458, 
W1M13/114,760,763,761.5,0.362,1.03, , ,21.0380035,2.62351736,-0.1018996,0.96048261, 
W1M13/115,765,768,766.5,0.351,1.019, , ,19.1684432,2.64097326,-0.0810372,0.953009, 
W1M13/116,769,771,770,0.34,1.084, , ,17.7625038,2.64598123,-0.0728436,0.94513957, 
W1M13/117,774,776,775,0.35,1.088, , ,16.0788922,2.7656561,-0.0353437,0.93334311, 
W1M13/118,780,783,781.5,0.343,1.036, , ,18.5523363,2.69493673,-0.086575,0.94474299, 
W1M13/119,785,788,786.5,0.366,1.029, , ,18.513442,2.66613883,-0.0925459,0.94745209, 
W1M13/120,790,793,791.5,0.309,1.075, , ,23.9147919,3.07369716,0.00529146,1.14632899, 
W1M13/121,795,797,796,0.373,1.039, , ,25.3773642,2.51313107,-0.1611228,0.98329583, 
W1M13/122,798,801,799.5,0.324,1.052, , ,21.5268195,2.56584024,-0.1158848,0.96797381, 
W1M13/123,803,805,804,0.349,1.016, , ,29.3747857,2.2941116,-0.1392665,1.02899298, 
W1M13/124,807,809,808,0.356,1.011, , ,18.624563,2.60717514,-0.0907576,0.95444156, 
W1M13/125,810,813,811.5,0.338,1.035, , ,22.5210537,2.5631649,-0.1224125,0.98053721, 
W1M13/126,815,817,816,0.325,1.043, , ,22.9252003,2.46910077,-0.1125823,0.97812083, 
W1M13/127,820,823,821.5,0.323,1.017, , ,14.8792767,2.63863169,-0.0436106,0.95059811, 
W1M13/128,825,827,826,0.36,1.034, , ,14.1918212,2.53620864,-0.0613765,0.95546545, 
W1M13/129,828,831,829.5,0.336,1.014, , ,14.0958818,2.55368787,-0.0508199,0.96438973, 
W1M13/130,833,836,834.5,0.33,1.038, , ,14.9872835,2.5204367,-0.0689815,0.96529655, 
W1M13/131,838,841,839.5,0.325,1.087, , ,14.7812268,2.55089693,-0.0653198,0.95914591, 
W1M13/132,844,847,845.5,0.308,1.011, , ,15.0850225,2.54816826,-0.0734598,0.9556923, 
W1M13/133,849,851,850,0.303,1.077, , ,16.5797259,2.51108878,-0.0926439,0.96907321, 
W1M13/134,854,856,855,0.319,1.02, , ,18.6296386,2.56156382,-0.097056,0.97550149, 
W1M13/135,858,860,859,0.395,1.016, , ,18.0979465,2.5640925,-0.0999491,0.96643956, 
W1M13/136,862,865,863.5,0.341,1.058, , ,16.1316801,2.58590566,-0.0689214,0.96447344, 
W1M13/137,867,869,868,0.357,1.024, , ,16.2694525,2.57643172,-0.0711401,0.96435836, 
W1M13/138,872,875,873.5,0.326,1.038, , ,14.4687086,2.57362995,-0.0440558,0.95740267, 
W1M13/139,877,880,878.5,0.348,1.04, , ,13.2412829,2.50166798,-0.0378112,0.9630337, 
W1M13/140,883,886,884.5,0.36,1.074, , ,14.7136555,2.49841739,-0.0644659,0.96305088, 
W1M13/141,888,891,889.5,0.328,1.01, , ,21.1446938,2.48884291,-0.1093816,0.98225851, 
W1M13/142,894,896,895,0.348,1.032, , ,25.1745209,2.34941573,-0.1351971,1.00894646, 
W1M13/143,898,900,899,0.307,1.072, , ,29.0250679,2.23716374,-0.1465955,1.03261127, 
W1M13/144,901,902,901.5,0.308,1.007, , ,38.4538588,2.30532983,-0.1648841,1.00033565, 
W1M13/145,903,905,904,0.369,1.067, , ,30.0432619,2.24581561,-0.1258446,1.00978463, 
W1M13/146,907,909,908,0.351,1.083, , ,19.6114989,2.70961077,-0.1210863,0.92391564, 
W1M13/147,910,913,911.5,0.358,1.031, , ,16.4575041,2.6205695,-0.0736352,0.93262196, 
W1M13/148,914,916,915,0.349,1.006, , ,15.5040225,2.55022739,-0.0645082,0.9611641, 
W1M13/149,919,922,920.5,0.347,1.046, , ,16.2066615,2.44897147,-0.0664147,0.95709376, 
W1M13/150,924,926,925,0.364,1.057, , ,14.8482535,2.57233039,-0.0614925,0.94585405, 
W1M13/151,928,930,929,0.398,1.013, , ,15.2452453,2.56441061,-0.0677992,0.95365464, 
W1M13/152,933,935,934,0.396,1.036, , ,14.5676998,2.60473333,-0.0554198,0.93988566, 
W1M13/153,938,941,939.5,0.37,1.052, , ,15.0198481,2.57241298,-0.0564893,0.94374651, 
W1M13/154,944,947,945.5,0.311,1.009, , ,14.7920411,2.58715536,-0.0681189,0.93950291, 
W1M13/155,949,952,950.5,0.353,1.027, , ,16.1685728,2.5177035,-0.084032,0.96371524, 
W1M13/156,954,957,955.5,0.384,1.034, , ,14.4288179,2.5694919,-0.0588523,0.94697471, 
W1M13/157,960,963,961.5,0.328,1.026, , ,14.950918,2.44169294,-0.0539439,0.97081883, 
W1M13/158,965,967,966,0.335,1.061, , ,17.7947347,2.18727454,-0.0594012,0.99857971, 
W1M13/159,970,973,971.5,0.311,1.011, , ,44.0763371,2.07913637,-0.1968205,1.12976989, 
W1M13/160,979,982,980.5,0.308,1.014, , ,17.3000063,2.63604443,-0.0735014,0.95373693, 
W1M13/161,990,993,991.5,0.378,1.076, , ,18.1862011,2.62151377,-0.1006462,0.95596943, 
W1M13/162,996,999,997.5,0.359,1.042, , ,17.4312507,2.65311743,-0.098068,0.94088086, 
W1M13/163,1005,1008,1006.5,0.334,1.049, , ,16.6591647,2.75782424,-0.0600201,0.93348795, 
W1M13/164,1012,1015,1013.5,0.331,1.082, , ,17.7782073,2.74199228,-0.0891845,0.93056406, 
W1M13/165,1020,1023,1021.5,0.302,1.026, , ,17.836037,2.70393959,-0.0977722,0.9330073, 
W1M13/166,1032,1035,1033.5,0.372,1.021, , ,16.6300492,2.67633389,-0.0731534,0.94037934, 
W1M13/167,1038,1041,1039.5,0.372,1.026, , ,18.1691753,2.69837153,-0.0954497,0.9319333, 
W1M13/168,1045,1048,1046.5,0.328,1.076, , ,21.836613,2.62522572,-0.113669,0.95805334, 
W1M13/169,1055,1058,1056.5,0.329,1.023, , ,17.1499495,2.70842897,-0.0752359,0.93667542, 
W1M13/170,1065,1068,1066.5,0.345,1.072, , ,17.3319922,2.64087598,-0.0964901,0.94340823, 
W1M13/171,1075,1078,1076.5,0.307,1.062, , ,18.3566491,2.62391348,-0.1126734,0.94386124, 
W1M13/172,1083,1086,1084.5,0.357,1.015, , ,16.7332016,2.65611042,-0.076579,0.94365654, 
W1M13/173,1090,1093,1091.5,0.33,1.044, , ,19.9562676,2.41873985,-0.1149664,0.99932036, 
W1M13/174,1100,1103,1101.5,0.332,1.037, , ,21.4965736,2.48812066,-0.13132,1.004468, 
W1M13/175,1110,1113,1111.5,0.336,1.009, , ,16.0575755,2.70344565,-0.061137,0.93659029, 
W1M13/176,1120,1123,1121.5,0.335,1.085, , ,19.8712777,2.56747379,-0.1256539,0.97666319, 
W1M13/177,1130,1133,1131.5,0.307,1.014, , ,20.8378702,2.53910716,-0.1357855,0.97683396, 
W1M13/178,1135,1138,1136.5,0.33,1.033, , ,21.0438451,2.55549305,-0.1286985,0.98235821, 
W1M13/179,1141,1144,1142.5,0.312,1.021, , ,22.3974971,2.56859721,-0.1301874,0.98720594, 
W1M13/180,1146,1149,1147.5,0.387,1.029, , ,21.8361621,2.73767391,-0.0929766,0.97019604, 
W1M13/181,1151,1154,1152.5,0.381,1.072, , ,,,,, 
W1M13/182,1156,1159,1157.5,0.366,1.077, , ,22.0501759,3.07831615,0.04918967,0.90887221, 
W1M13/183,1162,1165,1163.5,0.368,1.032, , ,18.9792401,2.74784306,0.02831647,1.01309126, 
W1M13/184,1168,1171,1169.5,0.369,1.029, , ,19.5880641,2.78909849,0.02897177,0.99809424, 
W1M13/185,1174,1177,1175.5,0.376,1.045, , ,18.9826232,2.50569245,-0.066273,1.0009229, 
W1M13/186,1180,1183,1181.5,0.305,1.068, , ,25.836714,2.55836941,-0.1351994,0.97993365, 
W1M13/187,1186,1189,1187.5,0.344,1.003, , ,17.8030677,2.61490683,-0.0963365,0.95792716, 
W1M13/188,1192,1195,1193.5,0.349,1.026, , ,16.9817009,2.65878608,-0.0921986,0.94507378, 
W1M13/189,1198,1201,1199.5,0.317,1.067, , ,18.2897743,2.46781955,-0.1044289,0.98904023, 
W1M13/190,1204,1207,1205.5,0.363,1.04, , ,16.0894003,2.4264214,-0.0867429,0.98467311, 
W1M13/191,1208,1211,1209.5,0.341,1.059, , ,17.6367884,2.39200293,-0.099811,0.99445852, 
